title,summary,free,genre,installs,ratings,price,size,contentRating,reviews,released,adSupported,sale,score,similarApps,version
SUNU Health,Experience the SUNU Health Mobile to access wonderful self-services!,True,Medical,"5,000+",34.0,0.0,3.6M,Rated for 3+,14.0,"Jul 9, 2018",,False,4.558823599999999,"['com.senenews', 'com.nextwebart.senego']",1.1.8
PriveDoc,Connecting all of Nigeria with high quality effective healthcare,True,Medical,"1,000+",669.0,0.0,159M,Rated for 3+,600.0,"Oct 23, 2018",,False,4.960396,"['com.dayuse_hotels.dayuseus', 'com.spektra.inc', 'com.guzogo.app', 'com.showaround', 'com.pakamcustomer']",2.2.1
TB STARR,"TB STARR helps manage screening, referral, & reporting of TB patients in Nigeria",True,Medical,"1,000+",31.0,0.0,12M,Rated for 3+,11.0,"Jul 1, 2019",,False,4.419355,['com.shelfwatch'],1.8.2
myDokita,myDokita is telemedicine app that lets you consult with medical practitioners.,True,Medical,"1,000+",12.0,0.0,32M,Rated for 3+,7.0,"Jun 9, 2020",,False,3.1666667,"['us.drpad.drpadapp', 'com.lafiya.telehealth', 'com.webmd.android', 'com.healthtap.mdhtexpress', 'com.knowyourmeds']",1.0.1
Magani A Kasar Hausa,This Book App describes many of the Hausa Traditional medicines and their uses.,True,Medical,"1,000+",6.0,0.0,7.8M,Rated for 3+,2.0,"Jan 14, 2020",,False,4.6666665,,1.0
LaFiya - 24/7 TeleHealth Telemedicine Dr On Demand,24/7 On-Demand Telemedicine app. Talk to a doctor on demand online chat & video,True,Medical,"10,000+",80.0,0.0,56M,Rated for 3+,51.0,"Dec 8, 2020",,False,4.3625,"['com.healthtap.mdhtexpress', 'com.whatsdoc.app', 'com.drug.doctor', 'com.aimedisv3', 'com.speedoc.patient']",1.63
NHS Conference App,"The app for the largest health conference in Nigeria, held once every 5 years",True,Medical,100+,5.0,0.0,5.6M,Rated for 3+,4.0,"Oct 14, 2019",,False,4.6,"['com.truven.druginfonative.customer', 'us.drpad.drpadapp', 'com.skillsoft.Percipio', 'com.airmeet.airmeet', 'health.livi.android']",1.1.0
Drugstoc - Order Products for your Pharmacy,Source all your healthcare products for your pharmacy in one place,True,Medical,500+,10.0,0.0,31M,Rated for 3+,5.0,"Dec 17, 2018",,False,4.6,"['com.knowyourmeds', 'com.drug.doctor', 'com.webmd.android', 'de.pnpq.pharmacylocator', 'com.unbound.android.cqddl']",4.1.0
ANCHORHMO MOBILE,ANCHORHMO - YOUR KEY TO HEALTH,True,Medical,500+,5.0,0.0,1.6M,Rated for 3+,5.0,"Apr 8, 2020",,False,1.8,"['com.synchroteam.synchroteam2', 'com.criticalarc.safezoneapp', 'com.booker.bookerandroid', 'ng.verifyme.agent', 'com.zp.eztracker']",1.0.
TeleMed Nigeria,Free doctor visits in Nigeria,True,Medical,100+,,0.0,45M,Rated for 3+,0.0,"May 28, 2020",,False,0.0,"['com.needstreet.health.hppatient', 'gov.cdc.ondieh.nccdphp.cdcdentalcheck', 'com.USpharmacist.USpharmacist', 'com.healthappy.seizario2', 'com.scanbooster.scanboosterultrasoundsim']",1.1.0-store
UCH SOP APP,"University College Hospital, Ibadan, Nigeria. Standard Operating Procedures.",True,Medical,500+,,0.0,14M,Rated for 3+,0.0,"Aug 18, 2018",,False,0.0,"['com.emaartechnologies.brokerstaging', 'com.motorgy.consumerapp', 'com.fsigo', 'com.ibtikar.sce', 'fiix.cmms.mobile']",0.0.2
SignalADoc- Doctor,SignalADoc improves access to healthcare by making it accessible for everyone.,True,Medical,50+,,0.0,68M,Rated for 3+,0.0,"May 17, 2020",,False,0.0,"['com.brar.vet', 'com.equineadvances.equinedrugs', 'com.speedAnatomy.speedAnatomyLite', 'com.BillDirkes.QuickEM', 'com.medpresso.Lonestar.cotecvadogcat']",2.0.4
MedWorka,Medical Emergency Response for LASG,True,Medical,50+,,0.0,37M,Rated for 3+,0.0,"Mar 31, 2020",,False,0.0,"['com.ifs.banking.fiid3605', 'ng.verifyme.agent', 'com.app.Abokifx', 'com.greatcallie.abokiforex', 'moneymie.bank.nigeria.remit.sendmoney']",1.2.0
Withings Health Mate,Monitor your health with Withings products,True,Health & Fitness,"1,000,000+",104197.0,0.0,Varies with device,Rated for 3+,32300.0,"Sep 25, 2012",,False,4.2527485,"['com.fitiv.fitivapplication', 'nl.appyhapps.healthsync', 'com.cardiogram.v1', 'com.hansdinslage.connect.HealthForYou', 'com.lge.lifetracker']",Varies with device
Nigerian Emergency,an app used to call Emergency numbers in Nigeria  during Emergency situation,True,Medical,10+,,0.0,1.7M,Rated for 3+,0.0,"Apr 8, 2020",,False,0.0,"['en.yo.bestdict', 'com.hdictionary.yo', 'com.pledge51.nigerianconstitution', 'com.mobobi.yorubaproverbs', 'com.wccrmhscf.hscf']",1.0
MaxHealth  - Nigeria's Mobile App,MaxHealth is the medical app that allow you talk to your preferred doctor online,True,Medical,10+,,0.0,9.7M,Rated for 12+,0.0,"Aug 22, 2019",,False,0.0,"['com.medpresso.Lonestar.hlthassm', 'com.onelab.securecomm', 'nz.co.celo.app', 'eu.siacs.conversations', 'com.softtalk.chat']",2.7
BTHDC Patient Portal,"Lab Test result, Radiology films and results upcoming schedules & Treatment Plan",True,Medical,10+,,0.0,3.5M,Rated for 3+,0.0,"Dec 7, 2019",True,False,0.0,"['us.drpad.drpadapp', 'nl.interactivestudios.bpglobalpja', 'com.mdsol.aquila', 'com.lafiya.telehealth', 'com.ifs.banking.fiid3605']",1.1
Ogun State Medical,Ogun State Medical service application,True,Medical,10+,,0.0,56M,Rated for 3+,0.0,"Apr 16, 2020",,False,0.0,"['org.endocrine.clinical_practice_guidelines_app', 'com.project.drugstars', 'com.burlymarmot.peaceofmind.caregiver_v2', 'com.andaman7.android', 'com.bmr.slendertone']",5.1.4
Wazobia Medical ChatApp (WMCA),"Wazobia Medical ChatApp, connecting special Patient cases to Specialist Doctors.",True,Medical,10+,,0.0,9.0M,Rated for 12+,0.0,"Jan 28, 2019",,False,0.0,"['com.zabeducation.besthymnsever', 'com.hymnals.sourcecodings.cshymns', 'com.cowry', 'com.libramotors.libmot', 'com.hymnaryapps.melodies_of_praise']",4.5.7
Unilag Pharmaceuticals,Unilag Pharmaceuticals - Pharmaceutical Services and Drugs Sales,True,Medical,10+,,0.0,5.4M,Rated for 3+,0.0,"Dec 24, 2019",,False,0.0,"['com.tremendoc.tremendoc', 'com.healthconnect.trudoc247', 'com.USpharmacist.USpharmacist', 'com.bbae.anno', 'com.hanbiro.globalmessenger_v2']",1.0
eMDLink,Find a Health care Provider and Book an Appointment,True,Medical,1+,,0.0,5.6M,Rated for 3+,0.0,"Sep 19, 2019",,False,0.0,"['dk.polycontrol.ekey', 'com.sg.medicloud', 'com.needstreet.health.hppatient', 'com.needstreet.health.hp', 'com.CreaBooSoft.PediHelp']",1.0.2
Mount Zion Movies,We Act In Faith 🛡,True,Video Players & Editors,"100,000+",1670.0,0.0,13M,Rated for 12+,931.0,"Jul 3, 2017",True,False,4.329341400000001,"['com.irokotv', 'com.dstv.mygotv', 'com.dstv.mydstv', 'sony.entertainment.ng', 'tv.africa.streaming']",4.0.2.3
UN1TY,UN1TY is a viewing platform for movies and TV channels around the world.,True,Video Players & Editors,"50,000+",285.0,0.0,Varies with device,Rated for 3+,94.0,"Apr 24, 2012",True,False,3.6,,Varies with device
Hausa Televisions,Gidajen Televisions Online Na Hausa A Saukake Kuma A Kyauta,True,Video Players & Editors,"10,000+",59.0,0.0,3.1M,Rated for 3+,19.0,"Sep 8, 2018",True,False,4.5084743,"['com.naij.hausa', 'com.sadiksalihu.tsarki', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.sadiksalihu.fassararlittafinahdhari', 'land.dict.dparha1.free']",9.2
AL RAHUZ FILMS PRODUCTION LTD,mungode da sakko manhajar al- rahuz films production kusasance domin nishadi mgd,True,Video Players & Editors,"10,000+",75.0,0.0,11M,Rated for 3+,36.0,"Jul 8, 2019",True,False,3.9466667,"['com.ecodia.android.hymnlyrics.hymnlyricsfree_hausa', 'com.sadiksalihu.tsarki']",1.2
Algaita Movie Box,Algaita Dub studio Hausa dubbed Movies,True,Video Players & Editors,"50,000+",391.0,0.0,12M,Rated for 3+,167.0,"Feb 2, 2020",True,False,3.9607842,"['com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.sadiksalihu.littafinhisnulmuslim', 'com.naij.hausa', 'com.sadiksalihu.fassararlittafinahdhari', 'com.sadiksalihu.sallah']",1.0
New Hausa Films,Sabbin Fina Finan Hausa Kyauta,True,Video Players & Editors,"10,000+",37.0,0.0,4.9M,Rated for 3+,10.0,"Sep 15, 2019",True,False,4.189189,"['com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.naij.hausa']",4.1
Invevo TV,Your Best TV Provider.,True,Entertainment,"50,000+",375.0,0.0,1.6M,Rated for 3+,104.0,"May 29, 2013",,False,4.12,"['com.xoopsoft.apps.primeiraliga.free', 'pt.iol.tvi24.android', 'com.rt.tv', 'com.skynewsarabia.atv', 'com.gamelikeapps.fapi.portugal']",1.4
Nigerian Christian Films 🎬,"Watch complete, full length, intriguing and inspiring Nigerian Christian Films",True,Video Players & Editors,"5,000+",17.0,0.0,9.7M,Rated for 3+,8.0,"May 8, 2018",True,False,3.764706,"['com.ceino.shalomworld', 'com.lightsource.android', 'sa.android']",3.0.0
So Dangin Mutuwa Fim,Domin jin dadin masu kallon shirin so dangin mutuwa cikin sauki,True,Video Players & Editors,"5,000+",32.0,0.0,9.8M,Rated for 3+,9.0,"Oct 23, 2020",True,False,4.25,,9.9
My Naija Pack for GoogleTV,Featuring the Best Nigerian Channels. Watch Live with 4-Day DVR.,True,Video Players & Editors,100+,,0.0,1.6M,Rated for 3+,0.0,"Dec 18, 2014",,False,0.0,"['com.npfltv.tv2u', 'com.france24.androidapp.gtv', 'com.app.thrilliantnigeriatvc', 'com.channelstv.channels.mobile', 'com.multimedia.joyonline']",1.0
Online Hausa TV (Maldaz Hausa App),No one Hausa app TV download now to watch free videos,True,Video Players & Editors,100+,,0.0,13M,Rated for 3+,0.0,"Aug 19, 2019",True,False,0.0,"['zimbabwe.news2020', 'com.ecodia.android.hymnlyrics.hymnlyricsfree_hausa']",1.0
Grace TV Africa,reaching the world with God's Grace and love,True,Video Players & Editors,100+,,0.0,4.7M,Rated for 3+,0.0,"Jul 16, 2020",,False,0.0,['com.subsplashconsulting.s_BRTHKJ'],1.26
Nigeria Weather,"Weather of cities in nigeria. Lagos, Kano, Ibadan, Kaduna, Port, Maiduguri...",True,Weather,"1,000+",19.0,0.0,22M,Rated for 3+,11.0,"May 25, 2017",True,False,4.315789700000001,"['com.sky.personalweatherman', 'com.idmobile.netherlandsmeteo', 'catholic.holy.bible', 'com.idmobile.franceweather', 'com.viziblee.pocketcatholic']",1.3.11
Weather of Nigeria,Weather in Nigerian cities,True,Weather,"1,000+",8.0,0.0,2.4M,Rated for 3+,3.0,"Feb 8, 2015",True,False,4.125,"['azan.nigeria.prayer.time', 'com.ebot64.igbocalendar', 'com.andromo.dev276263.app289315', 'ma.prayer.time.nigeria', 'com.guidewithme.czech.republic']",1.0
