title,summary,free,genre,installs,ratings,price,size,contentRating,reviews,released,adSupported,sale,score,similarApps,version
Naija Ludo,Naija Ludo is a classic dice and race game for all ages.,True,Board,"5,000,000+",20486.0,0.0,13M,Rated for 3+,8693,"Nov 5, 2015",True,False,4.280351,"['com.maliyo.whotking', 'io.yarsa.games.ludo', 'com.tonielro.naijawhotfree', 'com.zumbarevenge.legendeluxe', 'com.island.game.marble.classic']",Apple
Naija Whot Pro,Naija Whot is a classic card game for all ages.,True,Card,"500,000+",1802.0,0.0,17M,Rated for 3+,900,"Dec 4, 2014",True,False,4.126374,"['com.tonielro.naijawhotfree', 'com.maliyo.whotking', 'com.mobobi.yorubabible', 'com.tonielrosoft.classicludofree', 'com.idevshop.awaleawari']",SEP_2021
Naija Snakes & Ladders,Naija Snakes and Ladders is a classic board game of all ages.,True,Board,"10,000+",169.0,0.0,18M,Rated for 3+,79,"Jan 9, 2017",True,False,3.99,['com.maliyo.whotking'],Jupiter
Yoruba101,A Yorùbá language teaching app for kids,True,Education,"50,000+",390.0,0.0,Varies with device,Rated for 3+,188,"May 13, 2013",,False,4.4,"['com.pronunciatorllc.bluebird.yoruba', 'com.mobobi.yorubaproverbs', 'en.yo.bestdict', 'com.robtheis.android.phrasebook.yq.bc', 'com.pronunciatorllc.bluebird.hausa']",Varies with device
Whot King,FREE addictive Whot card matching game online. Play Naija Whot game with friends,True,Card,"50,000+",303.0,0.0,68M,Rated for 3+,175,"Oct 12, 2020",True,False,4.43,"['com.tonielrosoft.classicludofree', 'com.tonielro.naijawhotfree', 'com.idevshop.awaleawari', 'com.richjoy.zumu.game', 'com.island.game.marble.classic']",6.6.0
Learn Igbo for Kids,Learn Igbo for Kids app is the No. 1 resource for learning the Igbo language.,True,Educational,"5,000+",79.0,0.0,24M,Rated for 3+,46,"Mar 6, 2018",,False,4.329114,"['ns.com.italianforkids', 'com.teach.kids.languages.dutch.full.edition', 'com.teach.kids.languages.spanish.free.edition', 'com.helendoron.alphachat', 'com.helendoron.kangiclub']",1.2.1
Nigeria Spelling Bee Game,Practice and learn new words with the Nigeria Spelling Bee game,True,Educational,"5,000+",34.0,0.0,7.9M,Rated for 3+,24,"Dec 2, 2019",True,False,4.470588,"['uk.co.keystagefun.squeeblessp', 'com.appmum.spelling', 'com.spencerlearning.ultimatephonics', 'com.chessking.android.learn.middlegame4', 'com.pdemp.myreadingwords']",1.0
Chicas Nuevas 24 Horas: Happy,"Happy Discover adventure, a Nigerian heroin in their struggle for freedom",True,Adventure,"1,000+",82.0,0.0,97M,Rated for 12+,26,"Sep 9, 2017",,False,4.414634,"['io.ionic.readingu', 'com.dedoman.dedoman', 'com.rtve.androidtv']",1.05
NAIRA TIPS,I work  24/7 to bring you well analysed football Predictions.,True,Sports,"1,000+",205.0,0.0,9.3M,Rated for 12+,137,"Jul 8, 2019",True,False,4.26,"['co.tradedepot.shop', 'com.vanstone.vm20sdk', 'com.qsoft.aidapay', 'com.shago', 'ai.kudi.agent']",13.2
Results for Nigeria Premier League. Live scores,"Nigerian Professional Football League. Fixtures, standings, matches & statistics",True,Sports,"1,000+",12.0,0.0,2.8M,Rated for 3+,6,"Dec 12, 2017",True,False,3.9166667,"['com.xoopsoft.apps.englandone.free', 'com.xoopsoft.apps.primeiraliga.free', 'com.fplscores', 'com.im.motd', 'com.npfltv.tv2u']",1.0.0-nigeria
Cowbellpedia,Cowbellpedia Secondary Schools Mathematics TV Quiz Show,True,Educational,"50,000+",1065.0,0.0,28M,Rated for 3+,507,"Feb 8, 2016",,False,2.8962264,"['com.axumtechnologies.jambite', 'com.scholarly.utme', 'com.scholarly.putme.oau', 'com.scholarly.putme.uniport', 'com.josephjawahkebbie.wasscesyllabus']",1.0.3
9jabet 98% Accurate Odds,Get 98% Accurate B.9ja Odds Free for all Leagues,True,Sports,"100,000+",1161.0,0.0,10M,Rated for 3+,720,"Mar 8, 2019",True,False,4.3135595,"['eu.livesport.FlashScore_com_ng', 'com.octotips.octobets', 'com.fixedmatches22', 'top.bet_on.bettingapp', 'net.footbe.footbe']",11.2
Latest Nigeria Sports News & Football News,Latest Sports and Football News in Nigeria,True,Sports,"10,000+",11.0,0.0,17M,Rated for 3+,5,"Apr 12, 2019",True,False,4.181818,"['com.app.xscoreslive', 'com.sports.goaloo', 'com.bskyb.fbscore', 'com.fplscores', 'com.winjii.mobiscore']",1.5
Naija Ludo Premium,Naija Ludo Premium is a classic dice game with a set of dice.,True,Puzzle,"10,000+",29.0,0.0,6.8M,Rated for 3+,14,"Sep 23, 2019",True,False,3.2068965,"['com.maliyo.whotking', 'com.hamropatro.ludo']",1.0
Kacici Kacici - Kalmomin Hausa,Kacici Kacicin kalmomi da sunayen Hausa domin nishadi da debe kewa.,True,Word,"5,000+",31.0,0.0,14M,Rated for 3+,12,"Dec 28, 2018",True,False,4.096774,"['com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.sadiksalihu.sallah', 'com.sadiksalihu.tsarki', 'com.sadiksalihu.littafinhisnulmuslim', 'com.sadiksalihu.fassararlittafinahdhari']",1.10.9z
Mr Okada HD,Mr Okada is back in HD,True,Simulation,"1,000+",33.0,0.0,78M,Rated for 3+,26,"Oct 12, 2020",,False,4.212121,"['fr.adt.stuartmag', 'com.cafejavas', 'com.kalypsomedia.empiretv', 'air.com.sweetnitro.rugbysevensmanager', 'com.kiloo.frisbee2']",1.15
Chike - Sky Raider Jetman,"How far can you fly, help Chike fly like a Jetman & dodge like superman!",True,Arcade,"1,000+",96.0,0.0,36M,Rated for 3+,74,"Sep 14, 2017",True,False,4.71875,"['com.kabiart.stephero', 'com.comodule.fazua']",2.0.9
